,Id,ExternalId,Name,Precursor,PrecursorType,RetentionTime,Significance,ClusterId,Consensus,Reference,Clusterable,ChromatographyType,FileId,IntegerMz,Mass,Formula,TopMz1,TopMz2,TopMz3,TopMz4,TopMz5,TopMz6,TopMz7,TopMz8,TopMz9,TopMz10,TopMz11,TopMz12,TopMz13,TopMz14,TopMz15,TopMz16
26906,2162069,38235,38235 (Thiofanox),241.0979,[M+Na]+,10.63,,,0,1,0,LC_MSMS_POS,234.0,0,218.108899,C9H18N2O2S,185.0796,184.0767,57.0701,61.0108,98.0213,106.0628,107.0655,183.9137,186.0715,241.0988,199.083,209.1158,100.886,57.0764,153.7755,167.3454
26933,2162096,9862076,9862076 (Cyazofamid),325.0518,[M+H]+,12.96,,,0,1,0,LC_MSMS_POS,234.0,0,324.044774,C13H13ClN4O2S,108.0113,217.0399,261.0898,216.0324,108.0289,196.4823,226.121,225.1129,246.0666,218.0471,126.022,325.0497,152.0504,140.0381,234.0805,190.0297
26951,2162114,4936,4936 (Propargite),373.1441,[M+Na]+,15.25,,,0,1,0,LC_MSMS_POS,234.0,0,350.15518,C19H26O4S,373.1396,142.9777,81.0701,107.0491,57.0701,175.1114,231.1745,253.1543,309.1821,79.0538,163.1109,57.0766,373.1452,187.5431,79.0154,60.8133
27171,2162334,4091,4091 (Metformin),130.1088,[M+H]+,0.74,,,0,1,0,LC_MSMS_POS,235.0,0,129.101445,C4H11N5,130.1087,60.0558,71.0603,88.0868,85.0504,113.0818,60.0493,130.0875,84.9598,116.9663,129.9858,60.063,112.9712,98.9549,102.9686,62.1901
27175,2162338,5505,5505 (Tolbutamide),293.093,[M+Na]+,10.71,,,0,1,0,LC_MSMS_POS,235.0,0,270.103813,C12H18N2O3S,293.0927,220.004,194.0248,219.6302,293.0867,136.9421,84.8969,97.2819,219.6158,138.5147,96.0046,271.1279,84.9583,248.8945,261.1152,233.0665
27255,2162418,11953814,11953814 (Octanoylcarnitine),288.2163,[M+H]+,9.21,,,0,1,0,LC_MSMS_POS,237.0,0,287.209658,C15H29NO4,85.0283,288.2158,229.1429,60.0809,127.1117,144.1018,242.9286,57.0702,229.0754,260.9339,84.9594,90.9765,109.101,241.9306,57.0337,145.122
27256,2162419,11953814,11953814 (Octanoylcarnitine),288.2163,[M+H]+,9.21,,,0,1,0,LC_MSMS_POS,237.0,0,287.209658,C15H29NO4,85.0283,288.2158,229.1429,60.0809,127.1117,144.1018,242.9286,57.0702,229.0754,260.9339,84.9594,90.9765,109.101,241.9306,57.0337,145.122
27257,2162420,11953814,11953814 (Octanoylcarnitine),288.2163,[M+H]+,9.22,,,0,1,0,LC_MSMS_POS,237.0,0,287.209658,C15H29NO4,85.0283,288.2158,229.1429,60.0809,127.1117,144.1018,242.9286,57.0702,229.0754,260.9339,84.9594,90.9765,109.101,241.9306,57.0337,145.122
27258,2162421,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27259,2162422,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27260,2162423,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27261,2162424,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27262,2162425,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
27263,2162426,1145,1145 (trimethylamine oxide),76.0756,[M+H]+,0.6,,,0,1,0,LC_MSMS_POS,237.0,0,75.068414,C3H9NO,59.0731,58.0653,76.0756,59.0789,58.0709,76.0388,,,,,,,,,,
