2020-03-13_008_NISTplasma1,2020-03-13_012_NISTplasma1,2020-03-13_016_NISTplasma1,2020-03-13_022_HEART,2020-03-13_023_LIVER,2020-03-13_024_BRAIN,2020-03-13_025_MUSCLE,2020-03-13_026_HEART,2020-03-13_027_LIVER,2020-03-13_028_BRAIN,2020-03-13_029_MUSCLE,2020-03-13_030_HEART,2020-03-13_031_LIVER,2020-03-13_032_BRAIN,2020-03-13_033_MUSCLE
0,0,0,0,0,32517,0,0,0,30818,0,0,0,31269,0
4233,4273,4275,6304,170503,5255,1314,6315,169900,6138,1433,5984,170783,6001,1391
0,0,0,0,0,0,0,0,0,5146,0,0,0,0,0
5556,5372,5186,8388,69491,8688,1668,8174,68243,8865,2128,8433,68059,8886,1608
0,0,0,0,0,0,14551,0,0,0,13855,0,0,0,14032
0,0,0,0,7970,0,0,0,6433,0,0,0,12382,0,0
0,0,0,0,0,31530,0,0,0,32047,0,0,0,31298,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,2436,2207,4056,28211,5339,1122,4267,28353,5476,1381,3819,67259,5234,1441
0,0,0,0,0,0,0,0,0,3702,0,0,0,8766,0
0,0,0,0,0,42826,0,0,11640,15401,0,0,10681,40874,0
0,0,0,0,21292,8740,0,0,21544,9011,0,0,20296,3251,0
0,0,0,1440,34624,14935,0,0,34008,44292,0,0,32963,15313,0
0,0,0,0,1885,6368,0,0,8944,5723,0,0,2046,6169,2590
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1107,1337,1716,2766,1198,1468,0,0,0,0,1752,2529,1296
1462,1520,1456,1782,9667,1884,0,2118,80367,2077,0,1690,79454,1797,0
1494,1719,1281,2222,0,0,0,1828,0,0,0,1863,0,0,1130
39899,40075,39282,54723,60947,40458,57790,54749,59657,59483,58284,51946,59223,59446,56856
25190,29913,32120,45128,43131,27576,47511,48088,43415,28850,48465,48185,45152,27198,49112
0,0,0,0,0,37238,0,0,0,36320,0,0,0,34413,0
0,0,0,0,19874,13048,0,0,19187,12716,0,0,18127,12169,0
0,0,0,0,0,9300,0,0,0,9727,0,0,0,9321,0
0,0,0,0,11877,135681,0,0,11386,130421,0,0,4973,131239,0
0,0,0,0,0,0,0,0,0,0,0,0,11444,4944,0
14894,14725,14674,8883,174579,8310,7025,8873,173934,8425,7404,8472,170666,8751,6397
0,0,0,0,0,0,0,0,0,0,3502,0,0,0,3324
20783,20623,20374,12697,252648,11976,9769,12446,249346,13147,9252,12325,251909,12739,9531
2423,2035,2441,0,6647,50471,0,0,6678,47664,0,0,6971,49384,0
0,0,0,0,0,61178,0,0,0,61912,0,0,0,59897,0
0,0,0,0,0,59686,0,0,0,60122,0,0,0,56927,0
19960,21745,21943,29675,29864,6700,25610,30364,31442,7138,26540,28406,30506,6486,26195
0,0,0,0,0,9068,0,0,0,9661,0,0,0,8880,0
0,0,0,0,0,131048,0,0,0,126600,0,0,0,129632,0
0,0,0,0,0,0,0,0,13791,0,0,0,18408,0,0
0,0,0,0,0,50754,0,0,0,48788,0,0,0,48451,0
4355,4098,2355,2887,54073,145226,7240,2789,51631,143054,7088,2719,50498,140493,7528
0,0,0,0,0,7964,0,0,0,7926,0,0,0,7524,0
0,0,0,0,37143,189488,0,0,0,188065,0,0,0,102897,0
6708,6747,3042,3908,83786,248429,3248,4419,85249,244106,10981,2795,38047,243024,3331
2384,0,0,1809,0,13319,1253,0,0,13122,1142,0,0,13449,1246
1390,2818,1272,1374,37343,24226,4118,1496,39541,24445,4932,1455,39891,24154,4391
0,0,0,0,0,4742,0,0,0,4118,0,0,0,4707,0
0,0,0,0,0,116831,0,0,0,117841,0,0,0,113336,0
2267,0,0,0,0,135349,0,0,0,134496,0,0,0,134584,0
12680,12960,13757,12412,171449,7689,7538,11197,40402,7366,7306,12177,170315,7540,8094
0,0,0,0,3428,3879,0,0,2206,4000,0,0,2967,4186,0
0,0,0,0,31790,0,0,0,45283,0,0,0,44458,0,0
0,1753,0,0,48285,3516,0,0,64795,3213,0,0,48322,3038,0
0,0,0,0,0,0,4021,0,0,0,3997,0,2520,0,4390
0,0,0,0,0,2950,0,0,0,4148,0,0,0,7469,0
0,0,0,0,26165,0,0,0,25228,0,0,0,24649,0,0
0,0,0,0,7015,0,0,0,7979,0,0,0,6822,0,0
