index,muscle,muscle,plasma,liver,brain,heart,heart,muscle,plasma,brain,liver,plasma,liver,brain,heart
288,4619,6856,0,4411,0,14538,14502,5115,0,0,4030,0,4591,0,15641
289,11719,15405,0,0,0,0,0,13936,0,0,0,0,0,0,0
290,0,0,0,0,0,0,29044,0,0,0,0,0,0,0,0
291,23750,32433,0,40746,1512,158916,162397,29131,0,1629,40693,0,45244,0,172933
292,98616,146158,0,168530,0,732184,768544,117168,0,0,163755,0,175539,0,789010
293,0,0,0,0,0,2167,2135,0,0,0,0,0,0,0,2265
294,0,0,0,1989,0,11449,11964,0,0,0,1939,0,0,0,12231
295,0,0,0,1962,0,2362,0,0,0,2834,0,0,2059,2628,2878
296,0,1411,0,7931,1677,6918,0,0,0,0,7254,0,0,0,8090
297,0,0,0,20726,0,4857,9927,0,0,0,18203,0,21495,0,10337
298,0,0,0,0,1160,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,4778,5064,0,0,0,0,0,0,0,0
300,29720,38501,0,104187,0,169237,168868,30096,1218,0,96477,1295,105978,0,177022
301,0,0,0,0,1955,0,0,0,0,1937,0,0,2885,0,0
302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,8214,11039,0,0,0,0,0,9227,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,1363,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,2733,0,0,0,0,2041,0,1714,2122,0,0,0
307,5645,6476,6438,4588,3303,3836,3263,5803,5364,2547,4660,5084,3319,3714,2888
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,1176,0,0,0,0,0,1441,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,1325,2736,0,0,0,0,1897,0,1307,1932,0,1318,0
313,5707,6315,6482,3089,3384,3379,3146,5710,5456,2393,2926,5306,2059,4180,2596
314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
316,0,0,0,1101,0,0,0,0,0,0,1015,0,1126,0,0
317,0,0,0,0,0,1267,1102,0,0,0,0,0,0,0,1249
318,0,0,0,1671,0,1056,0,0,0,0,1507,0,1760,0,1015
319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,0,1607,1294,12347,2921,5671,5370,0,1386,3306,11254,1208,11873,3037,6081
325,2608,2478,1393,2182,2668,2156,2196,2549,1492,2367,2069,1271,2488,0,2228
326,0,1213,0,12071,4142,0,0,1070,0,0,0,0,12492,4447,4751
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,1141,1045,11423,0,9001,9212,0,0,0,11252,1113,11629,0,8448
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,1133,0,17520,0,7929,8047,0,0,0,17594,1019,17644,0,8016
331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,6497,2724,4535,4707,0,0,2937,6243,0,6880,4829,4719
340,0,0,0,6741,6072,3328,3638,0,0,5917,5946,0,6780,6213,3833
341,0,0,0,28734,0,8103,7902,0,0,0,28537,0,29284,0,8006
342,2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,3471,3568,1897,4797,0,3307,3739,3583,1840,0,4198,1863,4501,0,3545
344,0,0,0,40461,0,7794,7930,0,0,0,40209,0,41430,0,8163
345,0,0,1185,7997,0,0,0,0,1131,0,7223,1127,7604,0,0
346,2617,3069,0,0,0,0,0,2314,0,0,0,0,0,0,0
347,0,1133,1284,6812,0,0,0,0,1362,0,5762,0,5983,0,0
348,0,0,0,0,0,1232,1200,0,0,0,0,0,0,0,1167
349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,3667,2444,1421,1448,0,0,2405,3487,0,3927,0,1376
351,0,0,0,2128,0,2059,1860,0,0,0,1936,0,1957,2646,2168
352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,1027,0,0,0,0,0,1133,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,0,1149,12599,0,0,0,1446,0,5755,0,0,5761,0,7270,1060
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
