massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row286	285.0	626.825	5.062	0.00015500301769726094	3.9297488866718933
row287	286.0	302.1605	6.027	0.6784234657995938	-0.41580875372840265
row288	287.0	228.1278	2.614	0.05034987231429615	-1.9804176642163576
row289	288.0	365.1749	6.58	0.8761945780083302	0.1561866853386912
row290	289.0	264.1194	6.279	0.05657932075687435	-1.9284501250730288
row291	290.0	710.4531	1.551	0.36423266699909984	0.9114017525798163
row292	291.0	206.1653	2.885	0.004946462285276953	2.8730610621480177
row293	292.0	170.0928	6.788	0.212473412319435	-1.2546492586813007
row294	293.0	334.1868	6.269	0.0016778507141238465	-3.227828226479195
row295	294.0	406.1327	5.819	0.0008550460173903116	-3.4360850742421167
row296	295.0	371.1681	2.694	0.10040891255021325	-1.6579059904835485
row297	296.0	263.1324	6.197	0.017316635685241305	-2.419399416068878
row298	297.0	447.2999	1.026	0.9469168126578846	0.06674317437158904
row299	298.0	310.202	3.266	0.08100708459796176	1.7623422240883513
row300	299.0	154.0613	2.545	0.1080408697334343	-1.6212989370037327
row301	300.0	346.223	5.332	0.22116239061010914	-1.2309770327353136
row302	301.0	416.2134	5.455	0.7710168348090078	-0.29182013105170335
row303	302.0	170.0927	6.166	0.029132243201350008	-2.2129163473084468
row304	303.0	308.1862	3.145	0.3233819971740458	0.9923358205894405
row305	304.0	265.0975	0.428	0.2810705170084022	-1.083659968225606
row306	305.0	154.0976	2.277	0.7840610729644399	-0.27475387361424636
row307	306.0	358.259	3.167	0.9248642222901213	0.09454184055987042
row308	307.0	170.0601	3.1	0.09766470293799413	1.6716190911321023
row309	308.0	360.2024	5.904	0.9004484129455584	-0.12540671578794796
row310	309.0	265.1164	3.322	0.8474898632240074	-0.1928116566756563
row311	310.0	302.197	4.384	0.6288511445775278	-0.48480931837839836
row312	311.0	404.2754	0.797	0.7898100417153304	-0.2672581417505575
row313	312.0	430.3018	0.792	0.9004289811080305	-0.125431324402948
row314	313.0	456.9665	5.629	0.11377003887130338	-1.5951615463565014
row315	314.0	426.195	0.737	0.5667908607301505	0.574653637425733
row316	315.0	336.2176	3.089	0.002557481456588196	3.0928497032308693
row317	316.0	233.1499	7.574	0.0028128001418194445	-3.0618180842680998
row318	317.0	372.2238	3.412	0.2244167452768899	-1.222285288870972
row319	318.0	299.1	1.625	0.07410322361914322	1.804504543322892
row320	319.0	436.1326	2.669	0.05551249081859718	1.9369941324602342
row321	320.0	448.302	0.81	0.9232747206286664	0.09654809991687179
row322	321.0	263.0818	0.429	0.3260968749285236	-0.9867566948870324
row323	322.0	150.0583	1.808	0.37158752558651287	0.8974589365906432
