index_no,Alignment ID,Average Rt(min),Average Mz,Metabolite name,Adduct type,MS/MS assigned,Reference RT,Reference m/z,Annotation tag (VS1.0),RT matched,m/z matched,MS/MS matched,Total score,RT similarity,Dot product,Reverse dot product,Fragment presence %,01_Brain,01_Heart,01_Liver,01_Muscle,01_Plasma01,02_Brain,02_Heart,02_Liver,02_Muscle,02_Plasma01,03_Brain,03_Heart,03_Liver,03_Muscle,03_Plasma01,VIP
20588,21784,9.319,917.79102,w/o MS2:DG 56:5,[M+H]+,FALSE,14.54,917.79321,530,TRUE,TRUE,FALSE,97.6,99.9,,,,0,61051,19635,80974,0,0,0,0,0,0,0,62011,20971,0,0,1.8081712756477900
20137,21766,12.126,916.9046,w/o MS2:Cer 22:1;3O/38:0;(2OH),[M+H]+,FALSE,14.96,916.90552,530,TRUE,TRUE,FALSE,99.6,100.0,,,,0,0,34472,0,0,0,0,25373,0,0,0,0,29816,0,0,1.8081725673295200
14673,18121,2.33,805.03094,Unknown,[M+2H]2+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,46778,0,0,0,0,0,0,0,1.8082058004906600
19033,24009,12.168,1074.89954,w/o MS2:BMP 28:0_28:1,[M+H]+,FALSE,13.89,1074.90356,530,TRUE,TRUE,FALSE,92.2,100.0,,,,22771,23774,43834,33834,31764,30235,22138,40509,32377,35294,31153,25253,32418,29299,26924,1.808213185661720
17024,24777,6.396,1191.39514,Unknown,[M+2H]2+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,199458,0,63526,0,0,153681,0,50610,0,0,147842,0,0,0,0,1.8082180305735700
17667,25744,8.826,1451.35315,Unknown,[M+H]+,FALSE,,,999,FALSE,FALSE,FALSE,,,,,,0,0,0,0,0,0,0,55187,0,0,0,0,0,0,0,1.8082183846856100
26863,25428,7.296,1320.18445,w/o MS2:TG 8:0_38:0_38:7,[M+H]+,FALSE,17.36,1320.17944,530,TRUE,TRUE,FALSE,88.2,99.5,,,,0,0,10485,0,0,0,0,17953,0,0,0,0,13310,0,0,1.8082359100668000
11474,11028,1.53,539.31213,Unknown,[M+Na]+,TRUE,,,999,FALSE,FALSE,FALSE,,,,,,703524,787813,695901,563831,338688,743157,847092,725647,528233,353650,732762,789861,650272,543683,343864,1.808259708561950
25828,15107,7.745,705.49695,w/o MS2:SM 13:1;2O/22:6,[M+H]+,FALSE,7.72,705.49658,530,TRUE,TRUE,FALSE,99.9,100.0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8082619962172400
24945,15029,8.82,702.61591,w/o MS2:SE 28:2/20:4,[M+H]+,TRUE,14.32,702.61841,530,TRUE,TRUE,FALSE,62.5,99.8,,,,0,0,85726,0,0,0,0,81369,0,0,0,0,85631,0,0,1.8082842141518000
729,3998,0.714,284.25809,NAE 15:1,[M+H]+,TRUE,5.96,284.25839,410,TRUE,TRUE,TRUE,100.0,99.9,24.6,75.0,100.0,0,0,116487,0,0,0,0,93602,0,0,0,0,90872,0,0,1.8083224923439100
24465,11281,6.613,549.48798,w/o MS2:RIKEN P-VS1 ID-4975 from Cell_HeLa_WT_N_Ctr,[M+H]+,FALSE,11.31,549.49487,530,TRUE,TRUE,FALSE,78.8,99.9,,,,0,41553,201598,41936,56548,0,52077,222081,94502,53858,0,43607,217311,116051,51095,1.8083324928719200
