Name,SpectrumId,ClusterId,SubmissionId
Unknown,377166,1272152,149
Unknown,371595,1266585,140
"3-Aminoisobutyric acid, 2TMS derivative",377849,1272835,151
Unknown,370272,1265284,140
Unknown,370312,1265321,140
Unknown,370286,1265296,140
Unknown,369855,1264935,139
Unknown,371373,1266363,140
Unknown,370078,1265133,140
Unknown,370456,1265456,140
Unknown,376766,1271752,148
Unknown,370084,1265133,140
"L-Valine, 2TMS derivative",377731,1272717,151
"L-Valine, 2TMS derivative",377265,1272251,150
"L-Valine, 2TMS derivative",376811,1271797,149
"L-Valine, 2TMS derivative",378212,1273198,152
"L-Valine, 2TMS derivative",378592,1273578,153
Unknown,370077,1265133,140
"DL-Norvaline, 2TBDMS derivative",369361,1264442,139
Unknown,370000,1265080,140
"1-Hexanol, TMS derivative",374965,1269955,147
Unknown,370138,1265177,140
"L-Norvaline, N-(tert.-butyldimethylsilyl)-, tert.-butyldimethylsilyl ester",369354,1264435,139
"1-Hexanol, TMS derivative",374964,1269954,147
Unknown,378162,1273148,151
Unknown,377141,1272127,149
Unknown,378113,1273099,151
Unknown,377472,1272458,150
Unknown,378010,1272996,151
Unknown,378486,1273472,152
Unknown,371381,1266371,140
Unknown,377158,1272144,149
"6,10,14-Trimethyl-2-pentadecanol, TMS derivative",378609,1273595,153
Unknown,375087,1270077,147
"Boric acid, 3TMS derivative",369400,1264480,139
"1-Hexanol, TMS derivative",374967,1269957,147
"Boric acid, 3TMS derivative",374999,1269989,147
Unknown,377587,1272573,150
"9,19-Cyclolanostan-24-one, 3-acetoxy-25-methoxy-",376546,1271532,148
"Benzene, 1,3-dichloro-",370772,1265764,140
"Boric acid, 3TMS derivative",374988,1269978,147
Unknown,369416,1264496,139
Unknown,369408,1264488,139
Unknown,378135,1273121,151
Unknown,376752,1271738,148
Unknown,375451,1270440,147
Unknown,369586,1264666,139
Unknown,375048,1270038,147
Chloroquine,376710,1271696,148
Unknown,371263,1266253,140
Unknown,378489,1273475,152
Unknown,378115,1273101,151
Unknown,378946,1273932,153
Unknown,378910,1273896,153
Unknown,369680,1264760,139
Unknown,369253,1264334,138
Unknown,377155,1272141,149
Unknown,370299,1265308,140
Unknown,370003,1265083,140
"1,3(2H)-Benzodioxole, 2-[(diethylamino)methyl]-5-[(2,4-diamino-5-pyrimidinyl)methyl]-",376665,1271651,148
Unknown,370491,1265489,140
Unknown,371558,1266548,140
Unknown,369480,1264560,139
"N-.alpha.-Acetyl-L-Lysine, 3TMS derivative",378622,1273608,153
Unknown,369463,1264543,139
Unknown,371383,1266373,140
Unknown,370607,1265601,140
Unknown,375045,1270035,147
Unknown,377611,1272597,150
Unknown,369546,1264626,139
Unknown,371475,1266465,140
Doxepin,375432,1270421,147
Unknown,370167,1265198,140
Unknown,375473,1270462,147
Unknown,369174,1264255,138
Unknown,371286,1266276,140
11-Methyldodecanol,370166,1265178,140
11-Methyldodecanol,370139,1265178,140
"4-Octene, 2,6-dimethyl-, [S-(Z)]-",370149,1265178,140
Unknown,376708,1271694,148
Unknown,369518,1264598,139
Unknown,375643,1270632,147
Unknown,371265,1266255,140
Unknown,376721,1271707,148
"Urea, 2TMS derivative",376789,1271775,149
Unknown,377240,1272226,150
"Urea, 2TMS derivative",378185,1273171,152
"Urea, 2TMS derivative",378562,1273548,153
"4-Octene, 2,6-dimethyl-, [S-(Z)]-",370216,1265237,140
Unknown,369166,1264247,138
"Urea, 2TMS derivative",377687,1272673,151
Unknown,375067,1270057,147
Unknown,375914,1270903,147
Unknown,369673,1264753,139
Unknown,375797,1270786,147
Unknown,376763,1271749,148
Unknown,370364,1265368,140
Unknown,369930,1265010,139
Unknown,371258,1266248,140
Unknown,375812,1270801,147
Unknown,375074,1270064,147
"L-Alanine, 2TMS derivative",370025,1265095,140
Unknown,376086,1271075,147
"2-propenoic acid, 2-methyl-, 3-[(ethylsulfonyl)amino]phenyl ester",376704,1271690,148
Unknown,369910,1264990,139
Unknown,371100,1266090,140
Unknown,370066,1265125,140
Unknown,370147,1265184,140
Unknown,376001,1270990,147
Unknown,378824,1273810,153
Unknown,377506,1272492,150
Unknown,378006,1272992,151
Unknown,370117,1265161,140
Unknown,377064,1272050,149
Unknown,370143,1265161,140
Unknown,369191,1264272,138
Unknown,375865,1270854,147
Unknown,369486,1264566,139
Unknown,370113,1265125,140
"Benzoic Acid, TBDMS derivative",376818,1271804,149
"Benzoic Acid, TBDMS derivative",378219,1273205,152
Unknown,369130,1264211,138
"Benzoic Acid, TBDMS derivative",377758,1272744,151
"Benzoic Acid, TBDMS derivative",377278,1272264,150
"Benzoic Acid, TBDMS derivative",378598,1273584,153
Unknown,371502,1266492,140
Unknown,370154,1265188,140
