,accession,name,chemical_formula,average_molecular_weight,monisotopic_molecular_weight,iupac_name,traditional_iupac,cas_registry_number,smiles,inchi,inchikey
45,HMDB0001569,Epi-coprostanol,C27H48O,388.6694,388.370516158,"(1S,2S,5R,7S,10R,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol","(1S,2S,5R,7S,10R,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-5-ol",516-95-0,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@@]4([H])C[C@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,"InChI=1S/C27H48O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h18-25,28H,6-17H2,1-5H3/t19-,20+,21-,22+,23-,24+,25+,26+,27-/m1/s1",QYIXCDOBOSTCEI-FBVYSKEZSA-N
46,HMDB0001898,Mesobilirubinogen,C33H44N4O6,592.7257,592.32608516,"3-(2-{[3-(2-carboxyethyl)-5-[(4-ethyl-3-methyl-5-oxo-2,5-dihydro-1H-pyrrol-2-yl)methyl]-4-methyl-1H-pyrrol-2-yl]methyl}-5-[(3-ethyl-4-methyl-5-oxo-2,5-dihydro-1H-pyrrol-2-yl)methyl]-4-methyl-1H-pyrrol-3-yl)propanoic acid",urobilinogen,14684-37-8,CCC1=C(C)C(=O)NC1CC1=C(C)C(CCC(O)=O)=C(CC2=C(CCC(O)=O)C(C)=C(CC3NC(=O)C(CC)=C3C)N2)N1,"InChI=1S/C33H44N4O6/c1-7-20-19(6)32(42)37-27(20)14-25-18(5)23(10-12-31(40)41)29(35-25)15-28-22(9-11-30(38)39)17(4)24(34-28)13-26-16(3)21(8-2)33(43)36-26/h26-27,34-35H,7-15H2,1-6H3,(H,36,43)(H,37,42)(H,38,39)(H,40,41)",OBHRVMZSZIDDEK-UHFFFAOYSA-N
47,HMDB0001933,Furosemide,C12H11ClN2O5S,330.744,330.007719869,4-chloro-2-{[(furan-2-yl)methyl]amino}-5-sulfamoylbenzoic acid,furosemide,54-31-9,NS(=O)(=O)C1=C(Cl)C=C(NCC2=CC=CO2)C(=C1)C(O)=O,"InChI=1S/C12H11ClN2O5S/c13-9-5-10(15-6-7-2-1-3-20-7)8(12(16)17)4-11(9)21(14,18)19/h1-5,15H,6H2,(H,16,17)(H2,14,18,19)",ZZUFCTLCJUWOSV-UHFFFAOYSA-N
48,HMDB0001940,Triamterene,C12H11N7,253.2626,253.107593387,"6-phenylpteridine-2,4,7-triamine",triamterene,396-01-0,NC1=NC(N)=C2N=C(C(N)=NC2=N1)C1=CC=CC=C1,"InChI=1S/C12H11N7/c13-9-7(6-4-2-1-3-5-6)16-8-10(14)18-12(15)19-11(8)17-9/h1-5H,(H6,13,14,15,17,18,19)",FNYLWPVRPXGIIP-UHFFFAOYSA-N
49,HMDB0002001,Dimethylmalonic acid,C5H8O4,132.1146,132.042258744,dimethylpropanedioic acid,dimethylmalonic acid,595-46-0,CC(C)(C(O)=O)C(O)=O,"InChI=1S/C5H8O4/c1-5(2,3(6)7)4(8)9/h1-2H3,(H,6,7)(H,8,9)",OREAFAJWWJHCOT-UHFFFAOYSA-N
50,HMDB0002019,Phytol,C20H40O,296.539,296.307915908,"(2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol",phytol,150-86-7,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC\C(C)=C\CO,"InChI=1S/C20H40O/c1-17(2)9-6-10-18(3)11-7-12-19(4)13-8-14-20(5)15-16-21/h15,17-19,21H,6-14,16H2,1-5H3/b20-15+/t18-,19-/m1/s1",BOTWFXYSPFMFNR-PYDDKJGSSA-N
51,HMDB0002098,2-Fucosyllactose,C18H32O15,488.4377,488.174120354,"(2R,3R,4R,5R)-4-{[(2S,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-2,3,5,6-tetrahydroxyhexanal",2-fucosyllactose,41263-94-9,C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)O[C@H](CO)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C18H32O15/c1-5-9(24)12(27)14(29)17(30-5)33-16-13(28)11(26)8(4-21)31-18(16)32-15(7(23)3-20)10(25)6(22)2-19/h2,5-18,20-29H,3-4H2,1H3/t5-,6-,7+,8+,9+,10+,11-,12+,13-,14-,15+,16+,17-,18-/m0/s1",HWHQUWQCBPAQQH-BWRPKUOHSA-N
52,HMDB0002201,N-Carboxyethyl-g-aminobutyric acid,C7H13NO4,175.1824,175.084457909,4-[(2-carboxyethyl)amino]butanoic acid,cegaba,4386-03-2,OC(=O)CCCNCCC(O)=O,"InChI=1S/C7H13NO4/c9-6(10)2-1-4-8-5-3-7(11)12/h8H,1-5H2,(H,9,10)(H,11,12)",SRGQUICKDUQCKO-UHFFFAOYSA-N
53,HMDB0002227,Capsaicin,C18H27NO3,305.4119,305.199093735,(6E)-N-[(4-hydroxy-3-methoxyphenyl)methyl]-8-methylnon-6-enamide,capsaicin,404-86-4,COC1=C(O)C=CC(CNC(=O)CCCC\C=C\C(C)C)=C1,"InChI=1S/C18H27NO3/c1-14(2)8-6-4-5-7-9-18(21)19-13-15-10-11-16(20)17(12-15)22-3/h6,8,10-12,14,20H,4-5,7,9,13H2,1-3H3,(H,19,21)/b8-6+",YKPUWZUDDOIDPM-SOFGYWHQSA-N
54,HMDB0002261,2-Hydroxymyristic acid,C14H28O3,244.3703,244.203844762,2-hydroxytetradecanoic acid,2-hydroxymyristic acid,2507-55-3,CCCCCCCCCCCCC(O)C(O)=O,"InChI=1S/C14H28O3/c1-2-3-4-5-6-7-8-9-10-11-12-13(15)14(16)17/h13,15H,2-12H2,1H3,(H,16,17)",JYZJYKOZGGEXSX-UHFFFAOYSA-N
55,HMDB0002264,(R)-2-Hydroxycaprylic acid,C8H16O3,160.2108,160.109944378,(2R)-2-hydroxyoctanoic acid,D-2-hydroxyoctanoic acid,30117-44-3,CCCCCC[C@@H](O)C(O)=O,"InChI=1S/C8H16O3/c1-2-3-4-5-6-7(9)8(10)11/h7,9H,2-6H2,1H3,(H,10,11)/t7-/m1/s1",JKRDADVRIYVCCY-SSDOTTSWSA-N
56,HMDB0002273,4-Hydroxy-L-glutamic acid,C5H9NO5,163.1287,163.048072403,"(2S,4R)-2-amino-4-hydroxypentanedioic acid","(2S,4R)-2-amino-4-hydroxypentanedioic acid",2485-33-8,N[C@@H](C[C@@H](O)C(O)=O)C(O)=O,"InChI=1S/C5H9NO5/c6-2(4(8)9)1-3(7)5(10)11/h2-3,7H,1,6H2,(H,8,9)(H,10,11)/t2-,3+/m0/s1",HBDWQSHEVMSFGY-STHAYSLISA-N
57,HMDB0002327,"1,11-Undecanedicarboxylic acid",C13H24O4,244.3273,244.167459256,tridecanedioic acid,brassylic acid,505-52-2,OC(=O)CCCCCCCCCCCC(O)=O,"InChI=1S/C13H24O4/c14-12(15)10-8-6-4-2-1-3-5-7-9-11-13(16)17/h1-11H2,(H,14,15)(H,16,17)",DXNCZXXFRKPEPY-UHFFFAOYSA-N
58,HMDB0002361,Pentacosanoic acid,C25H50O2,382.6633,382.381080844,pentacosanoic acid,pentacosanoic acid,506-38-7,CCCCCCCCCCCCCCCCCCCCCCCCC(O)=O,"InChI=1S/C25H50O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25(26)27/h2-24H2,1H3,(H,26,27)",MWMPEAHGUXCSMY-UHFFFAOYSA-N
59,HMDB0002384,Stearaldehyde,C18H36O,268.4778,268.276615774,octadecanal,octadecanal,638-66-4,CCCCCCCCCCCCCCCCCC=O,"InChI=1S/C18H36O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19/h18H,2-17H2,1H3",FWWQKRXKHIRPJY-UHFFFAOYSA-N
60,HMDB0002395,Ursolic acid,C30H48O3,456.711,456.360345406,"(1S,2R,4aS,6aS,6bR,8aR,10S,12aR,12bR,14bS)-10-hydroxy-1,2,6a,6b,9,9,12a-heptamethyl-1,2,3,4,4a,5,6,6a,6b,7,8,8a,9,10,11,12,12a,12b,13,14b-icosahydropicene-4a-carboxylic acid",ursolic acid,77-52-1,[H][C@@]12[C@@H](C)[C@H](C)CC[C@@]1(CC[C@]1(C)C2=CC[C@]2([H])[C@@]3(C)CC[C@H](O)C(C)(C)[C@]3([H])CC[C@@]12C)C(O)=O,"InChI=1S/C30H48O3/c1-18-10-15-30(25(32)33)17-16-28(6)20(24(30)19(18)2)8-9-22-27(5)13-12-23(31)26(3,4)21(27)11-14-29(22,28)7/h8,18-19,21-24,31H,9-17H2,1-7H3,(H,32,33)/t18-,19+,21+,22-,23+,24+,27+,28-,29-,30+/m1/s1",WCGUUGGRBIKTOS-GPOJBZKASA-N
61,HMDB0002409,"N-[(3a,5b,7b)-7-hydroxy-24-oxo-3-(sulfooxy)cholan-24-yl]-Glycine",C26H43NO8S,529.687,529.270938047,"2-[(4R)-4-[(1S,2S,5R,7R,9S,10R,11S,14R,15R)-9-hydroxy-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]acetic acid","[(4R)-4-[(1S,2S,5R,7R,9S,10R,11S,14R,15R)-9-hydroxy-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]acetic acid",133429-88-6,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@@H](O)C[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCC(O)=O,"InChI=1S/C26H43NO8S/c1-15(4-7-22(29)27-14-23(30)31)18-5-6-19-24-20(9-11-26(18,19)3)25(2)10-8-17(35-36(32,33)34)12-16(25)13-21(24)28/h15-21,24,28H,4-14H2,1-3H3,(H,27,29)(H,30,31)(H,32,33,34)/t15-,16+,17-,18-,19+,20+,21+,24+,25+,26-/m1/s1",DKXXSIJHWWVNMO-XROMFQGDSA-N
62,HMDB0002504,3-Sulfodeoxycholic acid,C23H38O7S,458.609,458.23382426,"(4R)-4-[(1S,2S,5R,7R,10S,11S,14R,16S)-16-hydroxy-2-methyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2S,5R,7R,10S,11S,14R,16S)-16-hydroxy-2-methyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",67030-48-2,[H][C@@]12CC[C@H]([C@H](C)CCC(O)=O)C1[C@@H](O)C[C@@]1([H])[C@@]2([H])CC[C@]2([H])C[C@@H](CC[C@]12C)OS(O)(=O)=O,"InChI=1S/C23H38O7S/c1-13(3-8-21(25)26)16-6-7-18-17-5-4-14-11-15(30-31(27,28)29)9-10-23(14,2)19(17)12-20(24)22(16)18/h13-20,22,24H,3-12H2,1-2H3,(H,25,26)(H,27,28,29)/t13-,14-,15-,16-,17+,18+,19+,20+,22?,23+/m1/s1",WSBVSABEAXNERB-JNLBVXOESA-N
63,HMDB0002520,beta-Glycerophosphoric acid,C3H9O6P,172.0737,172.013674532,"[(1,3-dihydroxypropan-2-yl)oxy]phosphonic acid",β-glycerophosphorate,17181-54-3,OCC(CO)OP(O)(O)=O,"InChI=1S/C3H9O6P/c4-1-3(2-5)9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)",DHCLVCXQIBBOPH-UHFFFAOYSA-N
64,HMDB0002536,Isodeoxycholic acid,C24H40O4,392.572,392.292659768,"(4R)-4-[(1S,2S,7S,9R,10R,11S,14R,15R,16S)-9,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid","(4R)-4-[(1S,2S,7S,9R,10R,11S,14R,15R,16S)-9,16-dihydroxy-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanoic acid",566-17-6,[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C[C@]4([H])CCCC[C@]4(C)[C@@]3([H])C[C@H](O)[C@]12C)[C@H](C)CCC(O)=O,"InChI=1S/C24H40O4/c1-14(7-10-21(27)28)16-8-9-17-22-18(13-20(26)24(16,17)3)23(2)11-5-4-6-15(23)12-19(22)25/h14-20,22,25-26H,4-13H2,1-3H3,(H,27,28)/t14-,15+,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1",ZHCAAZIHTDCFJX-QLEQUTGBSA-N
65,HMDB0002580,Taurolithocholic acid 3-sulfate,C26H45NO8S2,563.767,563.258658801,"2-[(4R)-4-[(1S,2S,5R,7R,10R,11S,14R,15R)-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanamido]ethane-1-sulfonic acid","2-[(4R)-4-[(1S,2S,5R,7R,10R,11S,14R,15R)-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0^{2,7}.0^{11,15}]heptadecan-14-yl]pentanamido]ethanesulfonic acid",15324-65-9,[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC[C@]4([H])C[C@@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OS(O)(=O)=O)[C@H](C)CCC(=O)NCCS(O)(=O)=O,"InChI=1S/C26H45NO8S2/c1-17(4-9-24(28)27-14-15-36(29,30)31)21-7-8-22-20-6-5-18-16-19(35-37(32,33)34)10-12-25(18,2)23(20)11-13-26(21,22)3/h17-23H,4-16H2,1-3H3,(H,27,28)(H,29,30,31)(H,32,33,34)/t17-,18-,19-,20+,21-,22+,23+,25+,26-/m1/s1",HSNPMXROZIQAQD-GBURMNQMSA-N
66,HMDB0002581,Taurocholic acid 3-sulfate,C26H45NO10S2,595.766,595.248488045,"2-[(4R)-4-[(2S,5R,7R,9R,15R,16S)-9,16-dihydroxy-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]ethane-1-sulfonic acid","2-[(4R)-4-[(2S,5R,7R,9R,15R,16S)-9,16-dihydroxy-2,15-dimethyl-5-(sulfooxy)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-14-yl]pentanamido]ethanesulfonic acid",67030-62-0,[H][C@]12C[C@@H](O)C3C4CCC([C@H](C)CCC(=O)NCCS(O)(=O)=O)[C@@]4(C)[C@@H](O)CC3[C@@]1(C)CC[C@H](C2)OS(O)(=O)=O,"InChI=1S/C26H45NO10S2/c1-15(4-7-23(30)27-10-11-38(31,32)33)18-5-6-19-24-20(14-22(29)26(18,19)3)25(2)9-8-17(37-39(34,35)36)12-16(25)13-21(24)28/h15-22,24,28-29H,4-14H2,1-3H3,(H,27,30)(H,31,32,33)(H,34,35,36)/t15-,16+,17-,18?,19?,20?,21-,22+,24?,25+,26-/m1/s1",LKTXOQJJFLAZRW-XVBIMYNNSA-N
67,HMDB0002985,Inositol phosphate,C6H13O9P,260.1358,260.029718526,"{[(1R,2R,3R,4R,5R,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxy}phosphonic acid","[(1R,2R,3R,4R,5R,6S)-2,3,4,5,6-pentahydroxycyclohexyl]oxyphosphonic acid",15421-51-9,O[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](O)[C@@H]1O,"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/t1-,2-,3-,4+,5-,6-/m1/s1",INAPMGSXUVUWAF-XCMZKKERSA-N
68,HMDB0003134,Biocytin,C16H28N4O4S,372.483,372.183126094,"(2S)-6-{5-[(3aS,4S,6aR)-2-oxo-hexahydro-1H-thieno[3,4-d]imidazol-4-yl]pentanamido}-2-aminohexanoic acid","(2S)-6-{5-[(3aS,4S,6aR)-2-oxo-hexahydrothieno[3,4-d]imidazol-4-yl]pentanamido}-2-aminohexanoic acid",576-19-2,[H][C@]12CS[C@@H](CCCCC(=O)NCCCC[C@H](N)C(O)=O)[C@@]1([H])NC(=O)N2,"InChI=1S/C16H28N4O4S/c17-10(15(22)23)5-3-4-8-18-13(21)7-2-1-6-12-14-11(9-25-12)19-16(24)20-14/h10-12,14H,1-9,17H2,(H,18,21)(H,22,23)(H2,19,20,24)/t10-,11-,12-,14-/m0/s1",BAQMYDQNMFBZNA-MNXVOIDGSA-N
69,HMDB0003219,Sedoheptulose,C7H14O7,210.1819,210.073952802,"(2R,3S,4R,5S,6R)-2,6-bis(hydroxymethyl)oxane-2,3,4,5-tetrol",β-D-sedoheptulopyranose,470-46-2,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@H](O)[C@@H]1O,"InChI=1S/C7H14O7/c8-1-3-4(10)5(11)6(12)7(13,2-9)14-3/h3-6,8-13H,1-2H2/t3-,4-,5-,6+,7-/m1/s1",HAIWUXASLYEWLM-BNWJMWRWSA-N
70,HMDB0003224,Deoxyribose,C5H10O4,134.1305,134.057908808,"(2S,4R,5S)-5-(hydroxymethyl)oxolane-2,4-diol",2-deoxyribose,533-67-5,OC[C@@H]1O[C@H](O)C[C@H]1O,"InChI=1S/C5H10O4/c6-2-4-3(7)1-5(8)9-4/h3-8H,1-2H2/t3-,4+,5+/m1/s1",PDWIQYODPROSQH-WISUUJSJSA-N
71,HMDB0003265,Hesperidin,C28H34O15,610.5606,610.189770418,"(2S)-5-hydroxy-2-(3-hydroxy-4-methoxyphenyl)-7-{[(3R,4S,5R,6R)-3,4,5-trihydroxy-6-({[(2S,3R,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}methyl)oxan-2-yl]oxy}-3,4-dihydro-2H-1-benzopyran-4-one",hesperidine,520-26-3,COC1=CC=C(C=C1O)[C@@H]1CC(=O)C2=C(O1)C=C(OC1O[C@H](CO[C@H]3O[C@@H](C)[C@@H](O)[C@@H](O)[C@H]3O)[C@H](O)[C@H](O)[C@H]1O)C=C2O,"InChI=1S/C28H34O15/c1-10-21(32)23(34)25(36)27(40-10)39-9-19-22(33)24(35)26(37)28(43-19)41-12-6-14(30)20-15(31)8-17(42-18(20)7-12)11-3-4-16(38-2)13(29)5-11/h3-7,10,17,19,21-30,32-37H,8-9H2,1-2H3/t10-,17-,19+,21+,22-,23+,24-,25+,26+,27-,28?/m0/s1",QUQPHWDTPGMPEX-UNZJSITISA-N
72,HMDB0003290,Gulonic acid,C6H12O7,196.1553,196.058302738,"(2R,3R,4S,5R)-2,3,4,5,6-pentahydroxyhexanoic acid",gulonic acid,20246-53-1,OC[C@@H](O)[C@H](O)[C@@H](O)[C@@H](O)C(O)=O,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3+,4-,5-/m1/s1",RGHNJXZEOKUKBD-KKQCNMDGSA-N
73,HMDB0003315,Cyclohexanone,C6H10O,98.143,98.073164942,cyclohexanone,cyclohexanone,108-94-1,O=C1CCCCC1,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,JHIVVAPYMSGYDF-UHFFFAOYSA-N
74,HMDB0003320,Indole-3-carboxylic acid,C9H7NO2,161.1574,161.047678473,1H-indole-3-carboxylic acid,indole - 3 carboxylic acid,771-50-6,OC(=O)C1=CNC2=CC=CC=C12,"InChI=1S/C9H7NO2/c11-9(12)7-5-10-8-4-2-1-3-6(7)8/h1-5,10H,(H,11,12)",KMAKOBLIOCQGJP-UHFFFAOYSA-N
75,HMDB0003349,L-Dihydroorotic acid,C5H6N2O4,158.1121,158.03275669,"(4S)-2,6-dioxo-1,3-diazinane-4-carboxylic acid",L-dihydroorotic acid,5988-19-2,OC(=O)[C@@H]1CC(=O)NC(=O)N1,"InChI=1S/C5H6N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h2H,1H2,(H,9,10)(H2,6,7,8,11)/t2-/m0/s1",UFIVEPVSAGBUSI-REOHCLBHSA-N
76,HMDB0003363,Pectic acid,C6H10O7,194.1394,194.042652674,"(2S,3R,4S,5R,6S)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",α-D-galacturonic acid,9046-40-6,O[C@H]1O[C@@H]([C@H](O)[C@H](O)[C@H]1O)C(O)=O,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2+,3+,4-,6-/m0/s1",AEMOLEFTQBMNLQ-BKBMJHBISA-N
77,HMDB0003371,L-Ribulose,C5H10O5,150.13,150.052823422,"(2S,3S,4S)-2-(hydroxymethyl)oxolane-2,3,4-triol","(2S,3S,4S)-2-(hydroxymethyl)oxolane-2,3,4-triol",130271-85-1,OC[C@]1(O)OC[C@H](O)[C@@H]1O,"InChI=1S/C5H10O5/c6-2-5(9)4(8)3(7)1-10-5/h3-4,6-9H,1-2H2/t3-,4-,5-/m0/s1",LQXVFWRQNMEDEE-YUPRTTJUSA-N
78,HMDB0003405,D-Lysine,C6H14N2O2,146.19,146.105527699,"(2R)-2,6-diaminohexanoic acid",D-lysine,923-27-3,NCCCC[C@@H](N)C(O)=O,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m1/s1",KDXKERNSBIXSRK-RXMQYKEDSA-N
79,HMDB0003424,1-Hexadecanol,C16H34O,242.4406,242.26096571,hexadecan-1-ol,cetyl alcohol,36653-82-4,CCCCCCCCCCCCCCCCO,"InChI=1S/C16H34O/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17/h17H,2-16H2,1H3",BXWNKGSJHAJOGX-UHFFFAOYSA-N
80,HMDB0003441,Cinnamaldehyde,C9H8O,132.1592,132.057514878,(2E)-3-phenylprop-2-enal,cinnamal,104-55-2,O=C\C=C\C1=CC=CC=C1,InChI=1S/C9H8O/c10-8-4-7-9-5-2-1-3-6-9/h1-8H/b7-4+,KJPRLNWUNMBNBZ-QPJJXVBHSA-N
81,HMDB0003449,beta-D-Galactose,C6H12O6,180.1559,180.063388116,"(2R,3R,4S,5R,6R)-6-(hydroxymethyl)oxane-2,3,4,5-tetrol",β D-galactose,7296-64-2,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3+,4+,5-,6-/m1/s1",WQZGKKKJIJFFOK-FPRJBGLDSA-N
82,HMDB0003518,Homocitric acid,C7H10O7,206.1501,206.042652674,"(2R)-2-hydroxybutane-1,2,4-tricarboxylic acid",(R)-homocitric acid,13052-73-8,OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O,"InChI=1S/C7H10O7/c8-4(9)1-2-7(14,6(12)13)3-5(10)11/h14H,1-3H2,(H,8,9)(H,10,11)(H,12,13)/t7-/m1/s1",XKJVEVRQMLKSMO-SSDOTTSWSA-N
83,HMDB0003543,Butanal,C4H8O,72.1057,72.057514878,butanal,butoxide,123-72-8,CCCC=O,"InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3",ZTQSAGDEMFDKMZ-UHFFFAOYSA-N
84,HMDB0003603,CE(10:0),C37H64O2,540.9029,540.490631292,"2,15-dimethyl-14-(6-methylheptan-2-yl)tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-7-en-5-yl decanoate",cholesteryl decanoate,1183-04-6,CCCCCCCCCC(=O)OC1CCC2(C)C3CCC4(C)C(CCC4C3CC=C2C1)C(C)CCCC(C)C,"InChI=1S/C37H64O2/c1-7-8-9-10-11-12-13-17-35(38)39-30-22-24-36(5)29(26-30)18-19-31-33-21-20-32(28(4)16-14-15-27(2)3)37(33,6)25-23-34(31)36/h18,27-28,30-34H,7-17,19-26H2,1-6H3",LJGMGXXCKVFFIS-UHFFFAOYSA-N
85,HMDB0003818,5-Androstenediol,C19H30O2,290.4403,290.224580204,"(1S,2R,5S,10R,11S,14S,15S)-2,15-dimethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadec-7-ene-5,14-diol",5-androstenediol,521-17-5,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-17,20-21H,4-11H2,1-2H3/t13-,14-,15-,16-,17-,18-,19-/m0/s1",QADHLRWLCPCEKT-LOVVWNRFSA-N
86,HMDB0003843,Gamma-Caprolactone,C6H10O2,114.1424,114.068079564,5-ethyloxolan-2-one,gamma-hexalactone,695-06-7,CCC1CCC(=O)O1,"InChI=1S/C6H10O2/c1-2-5-3-4-6(7)8-5/h5H,2-4H2,1H3",JBFHTYHTHYHCDJ-UHFFFAOYSA-N
87,HMDB0003990,"3b,5a,6b-Cholestanetriol",C27H48O3,420.6682,420.360345402,"(1S,2R,5S,7R,8R,10S,11S,14R,15R)-2,15-dimethyl-14-[(2R)-6-methylheptan-2-yl]tetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecane-5,7,8-triol","cholestane-3β,5α,6β-triol",1253-84-5,[H][C@@]12CC[C@H]([C@H](C)CCCC(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])C[C@@H](O)[C@@]2(O)C[C@@H](O)CC[C@]12C,"InChI=1S/C27H48O3/c1-17(2)7-6-8-18(3)21-9-10-22-20-15-24(29)27(30)16-19(28)11-14-26(27,5)23(20)12-13-25(21,22)4/h17-24,28-30H,6-16H2,1-5H3/t18-,19+,20+,21-,22+,23+,24-,25-,26-,27+/m1/s1",YMMFNKXZULYSOQ-RUXQDQFYSA-N
88,HMDB0004043,alpha-Terpineol,C10H18O,154.2493,154.135765198,2-[(1R)-4-methylcyclohex-3-en-1-yl]propan-2-ol,(+)-α-terpineol,7785-53-7,[H][C@]1(CCC(C)=CC1)C(C)(C)O,"InChI=1S/C10H18O/c1-8-4-6-9(7-5-8)10(2,3)11/h4,9,11H,5-7H2,1-3H3/t9-/m0/s1",WUOACPNHFRMFPN-VIFPVBQESA-N
89,HMDB0004067,Leucodopachrome,C9H9NO4,195.1721,195.053157781,"(2S)-5,6-dihydroxy-2,3-dihydro-1H-indole-2-carboxylic acid",cyclodopa,18766-67-1,OC(=O)[C@@H]1CC2=CC(O)=C(O)C=C2N1,"InChI=1S/C9H9NO4/c11-7-2-4-1-6(9(13)14)10-5(4)3-8(7)12/h2-3,6,10-12H,1H2,(H,13,14)/t6-/m0/s1",JDWYRSDDJVCWPB-LURJTMIESA-N
90,HMDB0004077,"4,6-Dihydroxyquinoline",C9H7NO2,161.1574,161.047678473,"quinoline-4,6-diol","4,6-dihydroxyquinoline",3517-61-1,OC1=CC2=C(O)C=CN=C2C=C1,"InChI=1S/C9H7NO2/c11-6-1-2-8-7(5-6)9(12)3-4-10-8/h1-5,11H,(H,10,12)",XFALURCRIGINGT-UHFFFAOYSA-N
