H1.CDF height,H2.CDF height,H21.CDF height,H22.CDF height,H23.CDF height,H24.CDF height,H25.CDF height,H3.CDF height,H31.CDF height,H32.CDF height,H33.CDF height,H34.CDF height,H35.CDF height,H4.CDF height,H41.CDF height,H42.CDF height,H43.CDF height,H44.CDF height,H45.CDF height,H5.CDF height,L1.CDF height,L2.CDF height,L21.CDF height,L22.CDF height,L23.CDF height,L24.CDF height,L25.CDF height,L3.CDF height,L31.CDF height,L32.CDF height,L33.CDF height,L34.CDF height,L35.CDF height,L4.CDF height,L41.CDF height,L42.CDF height,L43.CDF height,L44.CDF height,L45.CDF height,L5.CDF height,M1.CDF height,M2.CDF height,M21.CDF height,M22.CDF height,M23.CDF height,M24.CDF height,M25.CDF height,M3.CDF height,M31.CDF height,M32.CDF height,M33.CDF height,M34.CDF height,M35.CDF height,M4.CDF height,M41.CDF height,M42.CDF height,M43.CDF height,M44.CDF height,M45.CDF height,M5.CDF height,S1.CDF height,S2.CDF height,S21.CDF height,S22.CDF height,S23.CDF height,S24.CDF height,S25.CDF height,S3.CDF height,S31.CDF height,S32.CDF height,S33.CDF height,S34.CDF height,S35.CDF height,S4.CDF height,S41.CDF height,S42.CDF height,S43.CDF height,S44.CDF height,S45.CDF height,S5.CDF height
,,,,,,,,,,,,,,,,,,,,66080.05857,6159,15356,,154044.6217,40422.16896,17274.30867,10850.03628,,,,,,14485,,14946.25414,35336.61489,,15650.64852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28997.35096,103656.6455,95483.51305,86785.3741,123552.3314,94654.94548,120897.5058,95083.18154,146859.4652,64577.71949,139776.2864,57874.75528,229236.9404,98575.51858,104610.1911,75798.61559,55507.15641,47291.31161,,77054.90599
,18133.19529,,,,,,,,,,,,,,,,,9540.230306,,13718.77188,,,,,,,57115.79871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26321.49019,,,,107629.8568,58896.24064,29801.45623,74768.84846,82665.4028,149460.1226,149496.7071,78510.07603,203807.0872,49225.82343,20488.99377,372512.4877,331642.9924,303489.9944,,90890.06309
35232.41111,56293.57066,48013.13795,37969.75958,15145.72315,67499.41328,60520.92519,34209.3975,61120.52846,68502.0568,47476.85609,41602.94898,67564.32969,54324.70216,49525.94052,82066.72155,88557.13818,44521.10589,108806.4559,84443.83073,,,4468.940882,12912.74264,20077.01503,,,,,,,12740.58246,13576.20739,,,11947.61032,,,,4661.502785,14305.06484,12516.52547,10643.22445,15406.94411,8633.452233,15933.51871,16145.1192,31981.44333,24811.80145,16012.81982,19341.18102,26512.17492,47119.86479,14354.44995,61954.84226,50820.8802,8716.903024,27899.42361,52781.96891,13205.34866,107255.4662,55156.2673,26725.56842,56239.78645,75798.63089,121927.6338,203366.7763,89637.98039,66097.63466,81865.66076,153369.2767,83276.71847,69208.84216,185541.779,163874.154,111263.9797,118652.2939,132501.4852,,111170.1233
60788.82173,14557.94447,51879.47186,26085.65337,42905.19429,27393.32442,67417.5111,193011.2131,69579.74983,20724.98035,17220.19427,20631.6545,16100.5398,140760.403,15226.11728,35064.43646,119084.7636,25446.89445,72231.90494,109174.8513,37847.45424,43406.30951,43835.02613,79556.90265,96312.95868,143564.9636,63473.90436,65643.45154,69550.61573,57680.36175,72294.61992,75576.94887,77433.16063,58618.75586,67263.06498,45895.25638,106205.8431,78330.10286,78118.2246,77851.31804,,,,,5006.938626,,,,,,,,,,4922.368027,,,,8613.940154,,,,,,,,,,,,,,,,,,,,,
85098.34445,64572.83385,47444.61417,111029.7834,98729.48076,81840.27705,55674.08216,61870.70088,98195.43006,87476.30062,58796.52478,35094.69117,88647.90993,86508.12211,65217.8206,105952,103641.3522,151073.4251,103266.1074,52546.7105,28987.29328,6341.297808,13043.95241,90744.51742,33053.36083,26523.78679,,15318.84361,42595.52831,167611.9584,31005.86898,193008.2558,105493.9078,26569.39454,39468.65549,177000.8822,75592,75200,79527.31788,24133.92783,,12461.29263,26661.76659,25241.47336,50517.34283,27543.51237,40522.99599,35886.55436,,41378.12645,39350.13285,41343.11851,57597.77956,21889.7154,56341.28382,48413.64415,29423.75018,49011.35005,,38200.18054,20734.65399,21546.63864,30442.18064,26040.41171,16257.2077,22015.11241,,14172.55924,35995.66977,32105.7886,18770.43492,24024.0749,27267.12414,,23484.75374,23997.71694,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558828.938,108532.7316,,,,101600.4682,274948.4728,134155.1451,130216,72480.23025,28764.07529,,81066.13982,190981.4754,,,,,,127218.9663
52127.08759,,27193.39395,71579.02284,,37328,,,,,,,,70973.19221,6700.319654,,,,29071.59979,,144498.5132,,131438.9011,104568,,,,,,74297.51623,,74912,190661.6813,101087.1546,111000,65959.77859,94072.29667,85983.09341,,117696,119038.26,42031.68951,76976.40631,,56196.13251,,118649.4477,,69306.49944,63578.15633,62440,81320.51674,88568,134990.8939,,,41011.61556,78047.76259,59746.11588,,,,,,108741.7289,,,,,,,,,224117.7831,93522.42321,,,,,92550.433
,,,,,,,,,,,,,,,,,,,,,85508.23,91017.34245,96200.25011,88189.67897,127880.9473,188649.7832,129283.8638,119939.1917,83912.65156,71599.76399,103825.5962,103016.4429,70697.60825,88868.45779,111006.8028,139952.349,90704.01399,111518.5687,136717.8009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19399.81349,,28224.08937,26191.08047,,49931.3141,22358.12032,26923.44811,50480.49096,43153.78003,155995.5258,32284.71005,110084.3755,42037.84411,122008.4155,56195.36625,16194.84744,29095.5313,103832.4477,185146.4195,,32645.10175
51352.81915,34566.13867,,35726.98603,20332.05145,13843.22699,11888.21955,45447.10816,60159.60421,31828.50822,37821.44403,58736.67959,49377.41574,45839.78211,6979.139071,28723.00299,40320,52346.2581,10314,26019.37745,63707.19067,116173.3886,79498.49356,81874.22792,113551.5116,74896,74103.70842,182889.1121,114566.8457,61631.99489,111179.9834,78232.74886,84843.92227,105827.3735,68412.26447,28384,65899.29203,55684.64497,80479.83014,125826.6597,56200.2259,30439.33854,30380.67572,38199.41338,44041.47146,19432.61511,26352.68125,39072.80329,68950.08894,91454.17709,56654.17457,64689.39403,90847.59142,60120,51361.49676,41219.25485,19219.57122,61682.36285,21354.87997,54000.271,,,,,,,,,,,,,,,,,,,,
17247.79801,18854.9622,14694.73812,24557.19065,,39051.84283,42713.69224,15202.77329,36426.86504,43909.50547,26821.80897,35125.01659,47029.89994,32209.3141,10333.41313,38552.10804,56012.33417,29347.64013,83762.18159,59983.43746,,13592.21497,28629.31274,26252.71866,,,26740.63932,21303.76305,,,28656.64194,21663.78708,16940.30842,,22805.46333,24990.59279,,,,21058.01485,,,,,,9457.923046,,,,,,,8991.624712,,33285.29275,43938.51499,,,48162.6508,,15989.81294,58216.56507,,26624.49591,95880.66944,38167.42308,83890.61894,105420.0129,88779.43386,99369.06574,,,59791.86931,84480.73989,177011.8306,14256.9664,139429.3996,,,93243.66108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45073.11084,72162.28432,17092.04221,33313.04679,98507.35866,92062.49867,64688,86976,72577.21851,81562.56321,91968.24248,88329.51686,176014.177,56224,,17497.63426,54306.72685,61082.69837,,58102.1982
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114081.2028,49328.2983,113308.731,114253.7638,103038.8583,101837.1632,109240.7616,90737.07874,67996.4727,60001.90821,72683.7806,62230.33726,65023.41494,77725.19411,97682.40469,175561.5957,109751.8391,118011.1098,109803.9957,81504
,,,,,,,,,,,,,,,7665.309623,9373.066355,,7140.305083,,,,,,,,,,,,,,36458.9721,,,18285.50314,,,,,108174.1518,109040.1369,,103752.8627,47993.26013,58044.22703,86261.43945,127003.0338,139834.0994,138400.2725,173228.5405,116929.6524,141838.341,136119.5874,,129008.9084,20615.41428,156355.1576,,90572.41496,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74365.4633,106405.7393,154821.8344,129237.1365,170413.4621,102868.1791,172605.3109,98417.70516,128486.9831,109757.293,95923.97227,67435.7372,145731.7904,140236.281,90154.92235,79017.51143,81719.30527,72110.94026,,117289.238
49827.40502,64837.69308,54458.10441,57877.11357,49104,47051.94993,66085.00919,64316.81517,84347.78229,59894.12557,72602.16836,70348.82795,88052.61701,65868.45571,18517.76891,70744,84287.60564,70100.16631,55657.95171,86781.21695,78537.42237,69331.02864,146638.3221,132517.6233,118266.6606,83166.92835,140484.9022,128667.3591,100278.6633,84603.52192,122083.423,113730.5593,125008.7178,97362.99147,113763.5058,87706.19024,91214.24437,101216.6284,86176,161042.2238,68559.39079,66489.51153,72243.44283,70235.05944,86313.07256,90614.48812,92384.93758,60542.20681,104839.5603,90248,95934.82606,66138.00907,165521.5092,96979.39086,125734.6051,118672.0656,67717.99081,76823.6703,66962.92391,81471.70035,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137892.1415,,,,,,160924.1195,,111762.0868,147057.4592,87061.67548,155718.6225,165090.6479,108409.5426,127884.835,59179.09644,95053.09569,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32837.23126,,,,,,,,,,,,,,,,,,,,,,,,,,23246.69466,,70634.96064,72698.01198,83392.37513,73826.64065,107292.0325,63860.99996,123129.866,59790.57929,130265.2313,52520.48595,154964.2905,76506.95773,163102.6604,56052.49454,35509.69902,19774.67412,,68374.36416
,,17783.93625,,,25482.93948,27698.60297,9871.95832,,20703.85101,13696.67113,,19824.70834,,,,10889.01083,,,48542.79008,,7706.954736,16972.59986,9960.398599,,31259.5395,38082.79117,31555.27013,7426.244652,10167.10219,37396.00582,10112.71051,11270.27354,7628.104366,6105.363012,9195.471975,,4271.527179,,16056.27865,,13497.68414,,12504.07246,,,,24407.93356,,,13162.71369,,,,,,,21730.57873,,,,74856.51105,,129681.6976,161711.3842,111578.5772,150629.6602,,136126.9952,93124.43018,,,,83260.86812,,75779.51486,,,,76658.14149
32850.18608,,,10531.30389,,13127.78205,10135.20761,32558.20546,8913.449043,17758.90294,16431.4313,,19871.7161,8094.308955,3416.612082,42669.39414,27708.93433,15756.35909,18838.86737,8020.085484,,,,,,,,,,,,,,,,,,,,,,,,,,4446.892519,,,,10351.41811,,,,,,8148.482401,2942.406002,,,,17139.92331,29041.62379,,,32589.9387,,,71795.15797,,75406.68611,,56709.66487,149509.5598,44320.37943,39388.57386,,,,,32283.85048
82793.73721,61427.51506,30357.59169,111130.3006,15841.99182,55662.16569,73968,127763.0197,102017.8261,80306.66209,109929.3136,113727.4543,119448,142976,,20920.15783,45374.31366,79103.04846,18616.1378,119562.6029,89489.8599,76804.45586,39596.69629,33762.06082,22111.11599,22264,53679.14691,96413.35366,65253.18745,86869.32284,127263.7255,122685.9745,96361.44176,80129.47708,20443.46733,43270.42853,19991.32739,28498.01599,36298.98834,100974.8173,15747.93741,17351.7807,,9197.222504,9258.220072,13845.37581,,17265.44564,20910.73884,17872,11054.24138,15693.84316,24847.93346,14202.02662,14262,19187.44206,,7783,,21837.56245,31883.21939,51814.60946,,,,,,37152,28051.52538,,,,27718.13202,42111.88888,,,,,,51847.40632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43345.47356,34492.17287,,,121653.8239,51794.98658,103277.9984,89632.35475,76418.51736,87611.35592,105402.7856,75203.85427,142674.5804,90351.9835,89751.85774,,62313.98959,53105.75065,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14468.535,7037.66865,13093.19121,43019.46113,141207.0264,16317.32155,58654.33963,15513.63759,64277.43213,29524.53556,,,20450.68458,35094.35842,,16963.69341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33849.19713,38946.30445,32355.1945,41411.62707,54730.71138,72237.14198,20146.78944,75960.91328,138848.4689,90232.8773,32119.9826,54073.26719,55066.90343,99534.26121,50717.81098,43232.85717,14180.63016,17864.68238,,68940.00316
,41753.67035,,,50865.20158,,41104,53952.06452,50901.20612,36083.75791,42857.29175,55400,48424,,,39552.47298,46332.61136,60568,,49472,,120496,,,189764.7945,138573.1673,131818.9167,313942.7534,98632.8633,,,,,,,,,,75447.01568,,,,,40559.39335,,,,59691.53639,,,,,,,,42400.8563,,,,72256,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,7315.959712,9819.336043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71050.41219,93793.84693,105156.3927,120786.1239,136761.1279,110884.6455,102333.6984,87982.55318,84482.26744,87289.35107,81909.45985,74262.4742,112890.5962,94490.45973,94443.53953,106689.1357,76638.34849,73283.04585,,109520.9088
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5101.631444,,9061.983019,,,,32951.20221,134483.1212,14901.97788,66070.2566,15360.51624,86507.98628,14701.4085,,9215.370941,,23053.56756,,8340.757684
35030.77505,,,,,,,,,,,,43177.51447,,,39256,,,,,68124.17737,63420.68768,71282.08333,81487.59485,,127960.2153,93725.01273,84197.04804,,,91860.20711,70181.88056,75009.22606,63636.30871,78132.37447,52325.18391,105348.3344,89416.49756,84947.77084,69790.75908,,,,,,28844.58709,,,,70142.18334,64086.58882,,,,,,34063.87435,75791.89417,,,,113955.5752,29744,19124.59115,69571.38297,82618.95404,,43908.26857,38737.79953,,34667.13402,,52118.71973,43685.31325,34808.27398,34292.86446,,,,91966.83887
69929.98134,59909.16347,45270.69415,77204.32078,26664.90559,44693.02984,58313.72683,49381.56001,93114.3909,54461.86742,63086.02461,80300.18874,78976.12209,71296.23448,16916.99306,75729.7943,110020.8875,74998.41285,42473.24841,83221.46754,48105.25735,53318.25137,76766.24502,101896,115822.4972,79926.99917,81710.47664,103209.8132,96757.6124,77171.78339,77515.50818,127796.1692,86736,78304.94741,106621.2864,78675.73122,102709.11,80519.3328,78784,106438.3461,44133.76157,36589.6379,36070.42105,33155.44757,22011.22482,33236.15177,54266.16882,60759.75596,38811.88459,47032.23961,44229.68258,69494.8437,88350.25765,42262.70038,24478.94693,56231.97999,26944.90829,43349.62174,37958.19948,49103.97456,18027.4519,,,,,,,,23522.89794,,,,,,,,,,,
35549.74784,78702.45317,9207.472017,70656.4779,62608.26203,127503.6743,112386.5499,82155.67893,27114.65506,46362.8587,63994.56656,64409.20283,90588.87407,116753.3425,,27618.43503,66261.69399,61291.36596,95447.84519,106081.2114,,56697.26284,44916.96127,20562.49321,,39772.61251,91147.66332,80139.34503,,,74352.86095,48834.16985,33483.27771,43515.09142,,16947.27121,,,,101143.0552,,22537.43315,,16572.79161,79615.57016,22394.81761,29995.68659,29077.42353,18588.24963,25458.80929,29239.92898,40495.49769,52883.58385,27715.27918,29728.2142,29512.83531,,28036.08181,12098.86988,33933.58044,,,,,,,,,,,,,,,,,,,,
,13138.83712,,15145.00155,9696.809468,8070.044016,6726.884737,13926.18342,12660.61825,12343.25346,15402.81264,14731.08052,14450.63102,12756.00605,,10861.53461,,13182.04673,10202.30535,16258.69303,31267.4004,125390.3911,32504.00425,23741.50145,34994.7467,37760.10959,41763.60075,29005.74189,28672,52412.55491,42150.14405,37760.78358,33384.84371,22223.90953,40299.69437,69632.2254,49993.36359,38437.60912,32024.33858,28702.36016,13790.97142,13884.14931,15247.23135,10054.51304,15143.56573,,14697.07916,,14889,17111.65677,14732.24626,23297.80241,31621.04461,19124.19761,,31415.43488,14852.7979,19814.7185,,19967.28758,,,,,22053.40101,,,,,,,,,,107009.1209,,,,,
38400.90016,16364.03009,,,13699.55406,,,26644.46045,32583.74027,,,25637.63402,17923.26179,,,19835.29153,20877.5942,15291.56281,,23058.89266,,38318.62702,,,124402.8413,73071.32696,39924.25494,42871.14948,10168.28054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84388.40866,115492.9283,56685.85558,58935.27948,81051.52204,48813.15588,126145.2495,86625.11407,45736,51141.45824,99114.89674,28229.68136,59575.26811,117678.9425,80452.62782,37617.68984,35319.22126,31195.72344,,102868.9856
50046.73176,61973.9775,20714.81803,49182.79296,32850.33723,49858.02582,51566.89917,72773.57046,36947.16431,36680.46295,44609.12364,51583.34455,56588.23077,58633.50575,,30878.95792,45049.73652,34604.43094,53028.34384,74230.5382,,,,,,,,,,,,,,,,,,,,,62985.12507,57924.50532,,52071.37587,27742.12763,28822.57609,64250.03276,24266.15683,46187.20643,33751.60197,50408.55442,60772.97779,64723.73993,63870.90833,50815.54797,44187.81873,17962.21511,32914.5843,69031.96238,46119.21173,48873.53352,42520.61358,58456.04605,29000.22891,63051.52984,53336.85512,116665.6845,39521.11856,,49042.64941,31384.23078,31058.36406,95607.30551,53661.47406,61654.73294,67872,28425.2903,43119.19191,,29326.62283
,,,46110.89204,35524.41059,,,33052.03972,37368.45087,,37629.01875,61378.36864,,44890.18294,,,44179.74177,58872,,,,,,,90383.09135,,,,114549.2756,80915.24467,,,,,,,,,,,52038.58855,59310.06118,46270.55301,59473.70458,57054.5112,,,,,,,,,77363.26308,,65476.17577,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51128.18981,73998.81446,91233.18296,75966.0715,111993.6623,67399.76283,108401.6734,64711.51746,81902.81536,69249.44017,70672.58301,53353.56137,113735.8992,76328.84301,64030.80617,64220.7616,59853.15831,50079.03795,,70610.13081
49137.81445,33946.4429,23067.49869,72468.54313,39721.50397,,30317.94696,41094.30201,44321.29553,,30714.59195,37839.06714,25081.56082,23245.25777,,,33905.42504,44477.43091,,20373.83556,35791.41889,32795.21388,32570.78262,49690.59336,36855.46643,24418.23675,47561.29092,37218.15636,25179.63703,31448.86283,45815.24435,32453.27077,34126.9691,40606.94877,27304.57957,,23122.18084,36210.82421,26830.24512,41487.77636,53787.82318,48132.33791,49884.27252,49965.85179,56238.64809,23543.47516,73649.41483,53709.08169,52090.31113,78984.74213,77941.59705,67746.8126,113289.1906,69751.72625,32423.36704,21755.60015,62992.77099,62165.29243,,91833.37672,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23654.41447,,12652.87777,,109604.7922,93436.78314,113066.8062,,36269.17772,39139.28982,,80830.32296,23350.44441,34643.26197,104195.8521,,18704.9892,,67181.48102
10613.28533,3746.236236,,10720.37578,,,,12395.95341,12432.62503,,7887.075894,9662.709789,4503.653767,10242.89974,,,5853.480523,7965.530076,,,14905.33447,39037.77461,,75393.14729,48944.22681,35215.62398,71375.62523,66712.36084,75789.26739,37268.76001,99049.28795,60280.83551,110765.9146,66598.09774,61612.80926,,37045.30364,41400.54826,53665.12888,64453.77697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70136.55023,15533.51493,,52256.66747,53595.82412,63795.75764,82294.67857,64752.89391,82359.12883,27524.25432,41186.16546,27122.1244,64807.783,101113.7568,33693.64864,39559.61354,33415.67624,35332.65236,,110594.7059
26774.77205,42126.2638,52361.15905,26125.48049,,51147.79843,47826.47871,,38887.78436,59169.70214,28275.3979,33021.09086,44731.02602,40482.02123,27688.50568,51217.9045,46831.14312,,108173.9707,57896.98531,,,,,,,,,,,,,,,,20797.66467,,,,,,,,,,,,,,,,,,,22452.80676,19312,,,,,,,,,,,,,,,,,,,,,39227.33951,47626.53257,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58026.1736,74438.31814,22781.20839,51691.29791,28992.81027,29756.1245,45974.24151,26211.89821,76718.09178,30017.67623,55186.53574,43462.45021,21813.71013,84459.49757,18176.53397,,53029.18259,,,107523.7024
,,,,,,,,,,,,,,,,,,24062.81925,,19456,,,,,,46733.61454,39629.74624,36488.61674,25085.02203,15770.09807,,35026.21758,13851.97695,19992.6112,30840,12357.30693,12896,17852.49325,26902.69468,65545.64692,,44769.11564,55735.3531,54553.60121,,,,102342.2171,73172.38263,82388.34841,,105406.178,,,,26051.99186,,,,,,,,,,,,,,,,,,,,,,,
,13159.27305,9778.192522,,14897.13568,11785.38888,13581.61577,,22296,13625.15216,20160,15378.63284,16691.48819,17637.74857,,14287.94815,17299.10654,,8045.919951,17340.41525,9563.18507,12804.06285,,13470.62686,11633.19304,12278.52306,,14920.32926,,13071.45798,10814.86519,14045.08328,10884.07643,31569.38656,,9206.144166,11609.01287,18985.10103,12503.16775,18635.55324,93798.06016,11211.18276,,13902.41885,14056.25577,17899.68416,24369.4461,16682.17566,17923.93103,,17994.69444,31853.66891,49678.47116,21981.08644,28730.13412,,17268.06413,,4844.801675,40693.41482,15018.70496,,,,,,,,,,,,,,15534.00069,,,,9031.362612,
,,92162.83276,,,45116.41124,78004.89309,,21925.67608,69090.96211,39395.95517,42151.47368,65457.48809,,,60163.63057,64911.3771,18180.47843,29586.71534,32647.05028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22394.23442,33710.2435,36075.64564,27129.29208,27629.54927,27783.15703,39910.62288,21268.0538,39360.01269,30592.43589,28077.25106,22775.01603,19435.1413,38967.08784,20987.81211,34044.49632,,14742.74742,,21216.49532
40709.25085,34447.99137,26603.5677,49485.92227,20944.21285,27364.09171,31379.87214,38803.95874,57879.55923,47209.89971,50168.49537,59349.83865,59445.08849,40405.4661,8067.995715,44958.50602,47633.12463,46717.34411,21962.87319,44164.2437,,,,,,,,,,26452.80882,37767.66455,31168.21343,19826.4365,20542.39471,,,,,,,6496.151003,8703.380885,6522.513169,10610.93943,15895.82227,9896.055812,10899.12314,11306.1786,10927.92703,9782.503584,10135.31313,11682.45019,20093.48895,9400.409713,11976.26075,9053.853911,6614.64092,9885.935287,3815.049914,13480.25644,29120.00851,75265.58886,,,36004.19935,,,20514.32803,62270.67234,16464.83046,14866.23511,41066.08241,90783.25956,,64642.93624,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31785.02282,39011.6511,66210.03438,83412.39467,62587.95485,,80888.13893,33851.39296,59166.02292,37645.20848,46328.98129,31219.17538,70395.97557,56043.32858,42706.97899,28900.75336,,11133.11968,,38987.72685
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18489.46251,50098.72179,61270.13523,61530.10315,76791.49096,48782.10807,82205.15147,35919.85989,49672.52705,36161.77987,47681.22621,26484.37909,48421.17727,56237.50371,47010.49285,45114.8437,34362.24503,41522.38133,,40978.51793
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36061.12588,41690.74796,56547.40341,34017.51339,80746.81053,31087.60769,,40261.50859,58316.8943,,,43487.39776,,34010.29746,24131.94306,24250.28781,,33340.19356
,,,,,,,,,,,,,,15739.66651,,,,,,,25949.20679,,48684.01294,29357.27603,32369.77071,38484.78618,60397.45263,29442.90214,44213.23248,58854.86083,35983.41947,78842.36402,29502.33314,33924.01387,69353.97934,33490.40911,33695.94746,48217.61073,43386.6258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22785.14839,21462.1572,11246.58174,27242.14821,11837.57459,,,23563.05553,38873.91472,21450.45043,23129.60702,29256.87272,22092.79667,25519.63561,,23040.11323,25191.4608,23129.6549,15321.11737,,30255.41725,48640.06793,45081.6205,35904,50182.61346,31613.69055,38396.78699,78692.30622,58420.41082,25385.9382,39849.47737,39059.35832,34856.18727,37717.26079,35497.34462,15317.43378,31819.72695,29735.87576,31654.98911,42381.4079,29715.47315,8744.767984,22795.5995,7981.333567,15975.62176,12227.73562,20263.33178,11022.29434,34565.89726,25994.86434,15911.07105,24065.39377,26678.65764,24173.55381,26960.66181,28179.83803,12625.53354,15941.36522,13704.26958,18844.66187,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78550.54919,51372.82206,26127.20749,51096,68005.22,,67202.73881,72349.57027,56373.33503,,64502.45864,,,66937.93022,47088.52786,37040.75069,68880.73081,66688.40483,,
,26395.64109,23749.35902,34534.99489,,21836.34725,22277.11939,,,27366.70935,,,,,,,,,,31535.78309,68177.04045,58776.18623,56362.42053,,56140.2288,,27054.16867,,33134.36388,31860.69086,65865.84087,30567.59006,30024,,32880,,31956.33208,,26480,31640.69333,,,40769.5871,28819.29031,39817.27332,,73786.18177,56717.97256,72513.51676,34576,33824,73688.66351,,36749.16475,31136.86113,,33583.44737,26808,,78216.53485,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6835.908442,19349.90143,23920.75136,44286.13811,41583.06662,38972.00094,31193.8657,28650.15783,18956.29827,15891.53621,27743.22944,15026.72008,18176.70606,30880,25573.64662,49367.49495,,47152,44574.68854,32288.46914
12357.23925,24278.55441,,12865.7495,,,55165.96582,10998.63857,10745.40926,,16824,28232,40462.33987,10483.63994,,,,10502.7146,,76616.60738,,,,,,,,,,14794.37607,,16547.37254,16192.67683,,,13055.91319,,,16335.52536,,13153.66182,,,15932,,,,,,,,,,,,28248,,,,,,,,,,23052.29449,,19416.92909,,,,,,,,,,,,26163.21507
15240.33044,16175.91967,6658.208475,19900.40464,18511.84053,19044.18519,16977.6785,22760.30197,16170.23226,14512.83699,18494.08341,26368.59768,16431.26666,29948.69013,,12301.39629,14200.93809,26579.74617,15787.77477,20523.09143,46554.85558,55725.07258,29546.26259,37870.8938,56474.45526,65355.03908,52644.56544,75717.28728,32279.25824,43970.46064,60264.85024,70015.63071,50125.76216,60178.62067,20682.30921,22867.32838,45432,50805.14674,42051.14699,72597.83379,13622.26017,24816,,17245.49434,23997.59939,39078.13416,40344.76305,40847.34148,22954.93119,27820.7081,35159.90657,40574.4339,62632.46452,38613.31922,17823.89715,25450.25687,21681.89696,30600.34917,23706.12229,51106.45832,18453.26738,37856,15067.61159,23008.08301,,41027.67351,,34235.83255,19356.68592,17752.30056,,22928.43036,33206.44593,45377.48289,12251.01482,19091.661,14497.23624,15934.94927,,41284.3094
