Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
24035480,22893597,40148888,2412756,2659488,2316230,8270701,8946874,8988580,2343964,2354225,2525500,207515,21293,183387
3127729,3723050,7255061,169566,253632,191797,2721115,3159266,3250316,124907,115646,109470,209320,28623,212798
901708,1167129,2136368,1210798,1293703,1185298,18611346,17625841,20530331,740437,727135,797324,1380522,394558,1372478
153504,171469,325974,788810,801169,683398,16333884,14359861,16257146,137942,152992,148125,465032,118168,462513
844522,1017656,1806315,4214730,4440780,4019779,57861354,49691438,57748963,1920442,2118367,2076112,5390780,1512101,5297631
10638786,12173778,17177689,774189,861874,803154,11254392,12775849,12487382,1773671,1720462,1795710,1226066,338994,1292064
642084,655467,898428,595224,677263,577577,8716170,9499089,9191759,715930,784498,821565,801703,178771,804333
28322978,29125160,43535216,1845556,2017407,1830466,1409746,1376404,1429426,1869053,1891492,1983056,1958763,1585675,1912858
0,0,0,1056088,1067816,1164633,205413,299347,265327,168306,230259,221927,0,0,0
0,0,0,11956760,15110615,13244236,1111937,1856395,1563923,959138,1142852,1281996,0,0,0
1076038,1081210,1149961,5408940,6192212,7247134,4228821,5370392,5240763,960042,1224799,1267249,263299,58242,264551
2866,5611,5480,82149,74044,67229,347988,450320,421608,47965,23382,46666,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11403,4412,5334,0,11014,8923,67933,4749,7081,8821,40768,4788,6781,65248,6897
19807,18986,16960,43865,31562,43747,192119,9147,17502,19655,116433,24877,18109,148360,26331
11866,5151,6953,7049,9534,4301,7991,11476,0,2231608,2158586,2386248,1308,5348,6811
0,0,0,645318,634104,631340,384736,288267,269103,253339,229627,306551,274252,117305,246381
4759,0,0,104981,110060,100702,220937,279037,278140,11819,6848,6243,17628,7378,30840
686880,783567,964836,1963104,1927832,1915758,3405817,3936883,4109101,818524,851819,836143,1436336,825850,1437685
148332,138949,59770,416840,440755,394059,631740,728539,677209,202670,126438,176874,126895,60245,148718
359307,389416,437253,2631918,2940798,2750076,2891707,3623350,3704913,1311239,1385308,1534774,1150270,344999,1103618
0,0,10555,678486,783076,604190,927116,1193890,998200,174101,125098,143453,168552,15480,167022
19954,34738,53000,298570,285558,257972,581861,777524,732531,6408,5710,12735,17262,0,16844
1604,8011,1662,2658,886,1555,1913,1926,5729,68697,42779,74492,19117,0,13704
