Index,Vip,Metabolite name,Average Mz,average RT,Brain1,Brain2,Brain3,Heart1,Heart2,Heart3,Liver1,Liver2,Liver3,Muscle1,Muscle2,Muscle3,Plasma11,Plasma12,Plasma13
103,,CAR 21:1,468.4068,2.764,3188,2656,0,490624,588575,526757,423754,494853,487058,0,0,0,0,0,0
104,,CAR 22:0,484.4378,3.56,23642,35421,38815,8324898,8565351,7925090,135247,152511,173761,15643,15548,0,3878,5736,9815
105,,CAR 22:1,482.4221,3.218,100581,103957,114751,7600133,8669292,7606068,80719,107360,111663,8280,7289,11575,3546,3820,4002
106,,CAR 22:2,480.4065,2.668,0,0,0,1247558,1317360,1259806,2660,3151,0,0,0,0,0,0,0
107,,CAR 23:1,496.4379,3.292,0,0,0,283130,356906,253386,23196,37316,47066,0,0,5469,0,0,0
108,,CAR 24:0,512.4698,4.132,0,5741,0,906251,945246,803441,12820,21846,27250,24241,24822,15418,101812,14124,103588
109,,CAR 24:1,510.4537,3.648,21554,5632,15742,1213014,1209826,1229110,4969,10426,6068,0,0,0,0,0,9967
110,,CAR 24:2,508.4379,3.273,0,0,0,473398,510063,461537,0,0,0,0,0,0,0,0,0
111,,CAR 5:0,246.1708,0.45,65094,54111,46013,389803,414902,368330,57404,32043,41259,188157,189985,219734,120695,91753,108684
112,,CAR 6:0,260.1864,0.465,12053,8127,14558,153822,178076,164597,20189,40784,27025,381808,392767,404087,68633,17789,67611
113,,CAR 8:0,288.2178,0.493,25022,22994,12694,46446,60153,35639,22311,19207,24683,483747,539273,576330,345904,88202,303440
114,,CAR 8:1,286.2024,0.472,1054,2713,3104,8151,5584,4727,6362,14618,7259,507523,495590,566211,502283,153565,471843
115,,Carnitine,162.1129,0.431,1041114,1036890,1124770,13379356,14111106,12329489,1006671,1129587,1150348,23684726,23621806,25169568,3349601,1087233,2438552
116,,CE 14:0,614.5883,10.254,0,0,0,0,0,0,0,0,0,0,0,0,26897,0,6096
117,,CE 16:0,642.6187_647.5757,10.776,0,0,0,0,0,0,0,0,0,0,0,0,1127921,209050,602392
118,,CE 16:1,640.6052_645.5596_991.92,10.259,0,0,0,0,0,0,0,4825,0,0,0,0,5434887,1072239,4571432
119,,CE 18:0,670.6527_675.6077,11.2595,0,0,0,0,0,0,0,0,0,0,0,0,50444,0,25694
120,,CE 18:1,668.6365_673.5908_1019.9566,10.77066667,0,12661,9537,0,0,0,0,9225,0,0,0,0,26564737,6961412,22854183
121,,CE 18:2,666.621_671.5769_1017.9401,10.32133333,86275,96148,98014,362803,466465,600993,3658919,4619265,4624161,41075,30915,67493,245709800,69319081,212052503
122,,CE 18:3 isomer A,664.6063,8.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,,CE 18:3 isomer B,664.606_669.5615,9.915,0,0,0,0,0,0,53139,72324,68287,0,0,0,6254769,1238379,5880969
124,,CE 20:2,694.6525_699.6074,10.7125,0,0,0,0,0,0,0,0,0,0,0,0,157861,0,169242
125,,CE 20:2 isomer A,694.6502,10.805,0,0,0,0,0,0,0,0,0,0,0,0,48108,0,79204
126,,CE 20:3,692.6362_697.5914,10.3895,0,0,0,0,0,0,24187,58694,43992,0,0,0,3705566,1101912,3533322
127,,CE 20:4,690.6206_695.5753,10.0655,208112,198515,265590,0,0,0,179313,210610,211321,0,25983,51353,51299504,10935065,45969248
128,,CE 20:5,688.6041_693.5591,9.657,0,5576,0,0,0,0,0,5621,7894,0,0,0,5061595,1314456,4844622
129,,CE 22:5 isomer A,716.6363,10.238,14182,13692,5030,0,0,0,0,0,0,0,0,0,395737,44232,459890
130,,CE 22:5 isomer B,716.6206,9.515,0,0,0,0,0,0,0,0,0,0,0,0,125023,15614,142598
131,,CE 22:5 isomer C,716.6218,9.414,0,0,0,0,0,0,0,0,0,0,0,0,144221,9487,165096
132,,CE 22:6,714.6211_719.5766,9.8245,77622,67079,60378,0,0,0,5393,14796,10645,0,0,0,5266164,1457387,4848810
133,,CE 22:6 isomer A,714.6051,9.049,0,0,0,0,0,0,0,0,0,0,0,0,730558,192346,743568
134,,CE 22:6 isomer B,714.6049,9.127,0,0,0,0,0,0,0,0,0,0,0,0,805714,200017,750817
135,,Cer 18:1;2O/17:0,574.5185_534.5267_552.5372,5.892,120510,121515,229125,58314,51555,48387,5650387,5245185,5487411,8622,9047,14183,0,4228,0
136,,Cer 32:0;2O|Cer 16:0;2O/16:0,512.5053,5.133,39422,39953,36029,18011,27108,8990,818438,999014,981388,15382,14565,6166,0,19528,13807
137,,Cer 32:1;2O|Cer 16:1;2O/16:0,510.4897,4.906,70474,66054,63659,10210,12153,11925,3519758,4045336,4167510,6080,18449,4425,0,0,0
138,,Cer 33:1;2O|Cer 17:1;2O/16:0,524.5053,5.232,0,6219,15860,0,10554,16883,5891506,5959514,6552810,0,0,0,0,0,5975
139,,Cer 34:0;2O|Cer 18:0;2O/16:0,540.5366,5.785,101093,83768,149242,116707,167532,108842,7277544,7024960,7690926,75822,90248,86003,77949,96554,57316
140,,Cer 34:2;2O|Cer 18:2;2O/16:0,536.5054,5.013,96584,73678,113817,0,0,0,2311607,2771306,2941191,0,0,0,0,0,0
141,,Cer 35:0;2O|Cer 19:0;2O/16:0,554.554,6.011,0,0,0,0,0,0,517567,471236,572725,0,0,0,0,0,0
142,,Cer 35:1;2O|Cer 19:1;2O/16:0,552.537,5.78,0,0,0,0,0,0,4795650,5087488,5185431,0,0,0,0,0,0
143,,Cer 36:0;2O|Cer 18:0;2O/18:0,568.5691,6.466,867827,1037916,1815376,196779,204065,183398,1118840,1187713,1313484,66351,56905,76642,74074,49473,84959
144,,Cer 36:2;2O|Cer 18:2;2O/18:0,564.5373,5.669,11191025,11734295,13311173,171894,197712,207263,1115840,1360151,1561465,326369,369434,326326,0,0,0
145,,Cer 37:1;2O|Cer 19:1;2O/18:0,580.5685,6.455,0,0,5702,25742,45997,40676,750975,938316,928862,0,0,0,0,0,0
146,,Cer 39:0;2O|Cer 16:0;2O/23:0,610.6159,7.485,0,3964,10584,3315,0,0,686060,775421,769125,0,0,0,5195,0,4151
147,,Cer 39:1;2O|Cer 16:1;2O/23:0,608.6003,7.257,44107,35367,138382,27265,49157,34613,2823817,3118618,3167708,0,0,0,27329,0,27858
148,,Cer 40:0;2O|Cer 16:0;2O/24:0,624.6315,7.796,281413,372459,657599,123787,131684,124811,925865,925429,1099022,56534,48211,70889,219368,108531,215408
149,,Cer 40:1;2O|Cer 18:0;2O/22:1,622.6162,7.133,371836,364404,559040,5526,811,2949,257540,347526,333861,0,6258,0,0,6536,0
150,,Cer 40:2;2O|Cer 18:1;2O/22:1,620.6004,6.912,1016409,1112106,1688148,4333,8892,1760,629947,890494,846022,0,6952,9376,1041,0,5957
151,,Cer 40:2;2O|Cer 18:2;2O/22:0,620.6007,7.009,158305,206652,266429,129615,142971,96231,1724215,2097933,2000463,113265,104159,124880,70753,0,43466
152,,Cer 41:0;2O|Cer 18:0;2O/23:0,638.6469,8.11,32225,55424,104735,77149,68990,57686,877244,709125,817534,0,0,0,96570,0,75475
153,,Cer 41:2;2O|Cer 17:1;2O/24:1,634.6166,7.223,533916,547678,894200,66418,78073,52815,855519,1049114,1050835,38650,52106,61184,47738,7279,70329
154,,Cer 41:2;2O|Cer 18:2;2O/23:0,634.6161,7.342,43997,69557,81249,96445,108849,105576,2138554,2765978,2381230,16077,13926,36348,29569,0,35858
155,,Cer 42:0;2O|Cer 18:0;2O/24:0,652.6628,8.413,82043,98126,232218,88444,80520,73456,672824,542902,666557,18917,26312,27209,271971,49805,213048
156,,Cer 42:1;2O|Cer 18:0;2O/24:1 isomer A,650.648,7.774,988159,1116611,1634078,20561,9023,22421,346402,421298,438374,34769,17403,13067,156504,20007,160224
157,,Cer 42:1;2O|Cer 18:0;2O/24:1 isomer B,650.6476,7.105,441341,528229,753747,0,0,0,0,0,0,0,0,0,0,0,0
158,,Cer 42:1;2O|Cer 19:1;2O/23:0,650.6476,8.105,1852,3925,2550,55266,56042,58221,7673156,8469581,8649761,10043,8971,7085,93259,8865,54033
159,,Cer 42:3;2O|Cer 18:1;2O/24:2 isomer A,646.616,6.993,953391,1005102,1316483,123704,146066,107449,2117477,2696726,2515228,348920,375970,379699,116942,7035,91741
160,,Cer 42:3;2O|Cer 18:1;2O/24:2 isomer B,646.6161,6.705,1020056,1344957,2080321,0,0,0,0,0,0,0,0,0,0,0,0
161,,Cer 43:1;2O|Cer 19:1;2O/24:0,664.663,8.4,0,0,0,11726,23364,27908,4319986,4709406,4986723,0,0,0,106947,3733,106712
162,,Cer 43:1;2O|Cer 20:1;2O/23:0,664.6632,8.499,0,6115,5834,73405,62106,71454,2688024,2391126,2795426,0,3376,4922,72452,0,68485
163,,Cer 43:2;2O|Cer 19:1;2O/24:1 isomer A,662.6476,7.754,965,1020,2216,3207,0,0,739221,898787,959915,0,0,0,23595,0,18956
164,,Cer 43:2;2O|Cer 19:1;2O/24:1 isomer B,662.6481,7.858,146488,184446,266487,0,0,0,350123,424533,397652,0,0,0,0,0,0
165,,Cer 44:1;2O|Cer 20:1;2O/24:0,678.6784,8.785,0,0,3738,5435,3205,0,1886568,1343611,1805374,0,0,6518,58257,0,38210
