massfeature_rows	m/z	retention_time	p_value	statistic	CompoundID_from_user
row363	362.0	364.1232	2.932	0.25383534859369056	1.1475584968443033
row364	363.0	400.1417	0.576	0.2547458821756443	1.145346494734191
row365	364.0	327.0951	4.713	0.198934524909524	1.2929927586495018
row366	365.0	246.9911	3.865	0.01040469620470245	2.610422881851101
row367	366.0	324.071	4.68	0.06007867100940253	-1.9013474473248198
row368	367.0	204.981	0.692	0.16812776903766732	1.388110831122801
row369	368.0	313.1124	5.092	0.2535862541839121	-1.14816460960664
row370	369.0	124.0086	4.577	0.21285269269682677	-1.253601317637933
row371	370.0	151.0079	4.452	0.17963210163408014	1.351164711998714
row372	371.0	237.1237	2.666	0.3212212352427332	0.9967984037715851
row373	372.0	68.9993	0.493	0.0998905772941725	-1.660472718685278
row374	373.0	357.0992	1.722	0.043652077002490075	2.042793345191149
row375	374.0	255.2321	1.644	0.6374082644771555	-0.4727405960674774
row376	375.0	200.1291	2.27	0.00022333074507531044	3.8276975521742203
row377	376.0	447.0904	3.911	0.1051659543489382	1.6348363222810274
row378	377.0	311.1673	11.536	0.5597919809968019	0.5850711114573748
row379	378.0	311.1673	11.86	0.952875392116867	-0.0592418454163379
row380	379.0	242.0119	0.632	0.5639153316441858	-0.5789260566277586
row381	380.0	417.2101	4.63	0.7648559240897914	0.29991028421817006
row382	381.0	321.0812	5.338	0.6533721299712292	0.45040807349975653
row383	382.0	149.0475	1.653	0.10899545789698967	1.61686800748775
row384	383.0	311.1673	11.261	0.05287886525736241	1.9586967229317196
row385	384.0	217.0205	0.355	0.5342233840532186	-0.6236901509853333
row386	385.0	323.0176	1.8	0.17042736826945304	-1.3805755610710184
row387	386.0	306.0566	2.919	0.38251253736468716	-0.8770647420318652
row388	387.0	195.0514	6.194	0.11927891895281016	1.5710031453384266
row389	388.0	382.0984	6.29	0.0348162662127751	-2.1390722223439087
row390	389.0	311.1673	11.733	0.31949240345103663	1.000383276685157
row391	390.0	311.1673	11.931	0.10233554826735136	-1.6484584812082919
row392	391.0	311.1674	11.355	0.1314010068224836	-1.5208120482839047
row393	392.0	541.262	4.358	0.03425185989096398	-2.145915450693764
row394	393.0	359.1328	3.229	0.2412275479157501	1.1787818589211232
row395	394.0	341.1225	2.784	0.3100694341905598	1.0201530614064056
row396	395.0	540.2498	4.105	0.2682546427601334	-1.1131635740616945
row397	396.0	447.2918	2.956	0.41028789614403305	-0.8267867366805105
row398	397.0	311.1673	0.055	0.9700789468427844	-0.03760144862065384
row399	398.0	253.0822	3.531	0.6660116660283346	0.432885842812107
row400	399.0	415.1946	3.019	0.7355664542666114	0.33865410974325055
row401	400.0	337.0518	3.085	0.06266624330582321	1.8821486683525264
row402	401.0	311.1674	11.343	0.0042720247192562155	2.9228823857986352
row403	402.0	193.0356	6.039	0.5137005479745498	-0.6553768975337637
row404	403.0	94.9828	2.022	0.4483273586909605	0.7611437089091013
row405	404.0	359.1328	3.47	0.6459861385609742	-0.46071183747498945
row406	405.0	1149.0113	5.672	0.17331534246513236	1.3712210331437251
row407	406.0	318.1265	3.024	0.7506832142686776	0.31859748751316425
row408	407.0	427.1947	3.003	0.8686155087649927	-0.16583442950340227
row409	408.0	233.0118	0.635	0.43365193366225574	0.7860646649900026
row410	409.0	361.1483	3.109	0.9805350327253912	-0.02445804660189589
row411	410.0	331.0836	4.379	0.7256577801903537	-0.3518751871407618
row412	411.0	311.1673	11.113	0.32146313410199234	-0.9962978280077786
row413	412.0	179.0566	6.188	0.68335041522377	0.4090639117619968
row414	413.0	161.987	0.423	0.04818982193286683	-1.999717269978484
row415	414.0	298.1838	2.8	0.0019286506254695024	3.183651456066843
row416	415.0	330.0274	3.888	0.37594626538751774	0.8892778638419716
row417	416.0	245.0772	2.634	0.4265505729458666	-0.7983010426891838
row418	417.0	352.9429	5.087	0.00021979724034703398	3.832190411478444
